x1, y1,    x2,  y2,   x3, y3,   x4,  y4,
568,262,  1893,258,  565,1557,  1890,1555,
565,1688, 1891,1684, 570,2984,  1892,2981,

570,258,  1895,254,  576,1552,  1892,1548,
576,1683, 1891,1680, 572,2978,  1892,2975,

571,265,  1895,262,  567,1562,  1891,1557,
568,1693, 1892,1690, 572,2988,  1893,2983,

570,267,  1895,264,  566,1562,  1892,1559,
566,1694, 1892,1692, 570,2990,  1892,2985,

568,254,  1891,252,  564,1551,  1887,1548,
564,1680, 1887,1679, 566,2977,  1886,2975,
